"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-29","80","100","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-06-30","88","101","74"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-01","79","82","66"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-02","73","84","58"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-03","75","87","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-04","74","86","57"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-05","76","91","63"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-06","79","95","64"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-07","80","92","67"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-08","80","94","65"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-09","84","99","70"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-10","87","104","72"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-11","90","106","75"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-12","89","105","72"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-13","90","103","76"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-14","91","101","78"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-15","87","95","74"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-16","85","95","73"
"USW00024127","SALT LAKE CITY INTERNATIONAL AIRPORT, UT US","2024-07-17","86","101","73"
